id,channel_idx,channel_name,region,timepoint,time_sec,community
0,0,FP1-F7,frontal,0,0.0,0
1,0,FP1-F7,frontal,1,0.0039,0
2,0,FP1-F7,frontal,2,0.0078,0
3,0,FP1-F7,frontal,3,0.0117,0
4,0,FP1-F7,frontal,4,0.0156,0
5,0,FP1-F7,frontal,5,0.0195,0
6,0,FP1-F7,frontal,6,0.0234,0
7,0,FP1-F7,frontal,7,0.0273,0
8,0,FP1-F7,frontal,8,0.0312,0
9,0,FP1-F7,frontal,9,0.0352,0
10,0,FP1-F7,frontal,10,0.0391,0
11,0,FP1-F7,frontal,11,0.043,0
12,0,FP1-F7,frontal,12,0.0469,0
13,0,FP1-F7,frontal,13,0.0508,0
14,0,FP1-F7,frontal,14,0.0547,0
15,0,FP1-F7,frontal,15,0.0586,0
16,0,FP1-F7,frontal,16,0.0625,0
17,0,FP1-F7,frontal,17,0.0664,0
18,0,FP1-F7,frontal,18,0.0703,0
19,0,FP1-F7,frontal,19,0.0742,0
20,0,FP1-F7,frontal,20,0.0781,0
21,0,FP1-F7,frontal,21,0.082,0
22,0,FP1-F7,frontal,22,0.0859,0
23,0,FP1-F7,frontal,23,0.0898,0
24,0,FP1-F7,frontal,24,0.0938,0
25,0,FP1-F7,frontal,25,0.0977,0
26,0,FP1-F7,frontal,26,0.1016,0
27,0,FP1-F7,frontal,27,0.1055,0
28,0,FP1-F7,frontal,28,0.1094,0
29,0,FP1-F7,frontal,29,0.1133,0
30,0,FP1-F7,frontal,30,0.1172,0
31,0,FP1-F7,frontal,31,0.1211,0
32,0,FP1-F7,frontal,32,0.125,0
33,0,FP1-F7,frontal,33,0.1289,0
34,0,FP1-F7,frontal,34,0.1328,0
35,0,FP1-F7,frontal,35,0.1367,0
36,0,FP1-F7,frontal,36,0.1406,0
37,0,FP1-F7,frontal,37,0.1445,0
38,0,FP1-F7,frontal,38,0.1484,0
39,0,FP1-F7,frontal,39,0.1523,0
40,0,FP1-F7,frontal,40,0.1562,0
41,0,FP1-F7,frontal,41,0.1602,0
42,0,FP1-F7,frontal,42,0.1641,0
43,0,FP1-F7,frontal,43,0.168,0
44,0,FP1-F7,frontal,44,0.1719,0
45,0,FP1-F7,frontal,45,0.1758,0
46,0,FP1-F7,frontal,46,0.1797,0
47,0,FP1-F7,frontal,47,0.1836,0
48,0,FP1-F7,frontal,48,0.1875,0
49,0,FP1-F7,frontal,49,0.1914,0
50,0,FP1-F7,frontal,50,0.1953,0
51,0,FP1-F7,frontal,51,0.1992,0
52,0,FP1-F7,frontal,52,0.2031,0
53,0,FP1-F7,frontal,53,0.207,0
54,0,FP1-F7,frontal,54,0.2109,0
55,0,FP1-F7,frontal,55,0.2148,0
56,0,FP1-F7,frontal,56,0.2188,0
57,0,FP1-F7,frontal,57,0.2227,0
58,0,FP1-F7,frontal,58,0.2266,0
59,0,FP1-F7,frontal,59,0.2305,0
60,0,FP1-F7,frontal,60,0.2344,0
61,0,FP1-F7,frontal,61,0.2383,0
62,0,FP1-F7,frontal,62,0.2422,0
63,0,FP1-F7,frontal,63,0.2461,0
64,0,FP1-F7,frontal,64,0.25,0
65,0,FP1-F7,frontal,65,0.2539,0
66,0,FP1-F7,frontal,66,0.2578,0
67,0,FP1-F7,frontal,67,0.2617,0
68,0,FP1-F7,frontal,68,0.2656,0
69,0,FP1-F7,frontal,69,0.2695,0
70,0,FP1-F7,frontal,70,0.2734,0
71,0,FP1-F7,frontal,71,0.2773,0
72,0,FP1-F7,frontal,72,0.2812,0
