id,channel_idx,channel_name,region,timepoint,time_sec,community
4096,0,FP1-F7,frontal,4096,16.0,0
4097,0,FP1-F7,frontal,4097,16.0039,0
4098,0,FP1-F7,frontal,4098,16.0078,0
4099,0,FP1-F7,frontal,4099,16.0117,0
4100,0,FP1-F7,frontal,4100,16.0156,0
4101,0,FP1-F7,frontal,4101,16.0195,0
4102,0,FP1-F7,frontal,4102,16.0234,0
4103,0,FP1-F7,frontal,4103,16.0273,0
4104,0,FP1-F7,frontal,4104,16.0312,0
4105,0,FP1-F7,frontal,4105,16.0352,0
4106,0,FP1-F7,frontal,4106,16.0391,0
4107,0,FP1-F7,frontal,4107,16.043,0
4108,0,FP1-F7,frontal,4108,16.0469,0
4109,0,FP1-F7,frontal,4109,16.0508,0
4110,0,FP1-F7,frontal,4110,16.0547,0
4111,0,FP1-F7,frontal,4111,16.0586,0
4112,0,FP1-F7,frontal,4112,16.0625,0
4113,0,FP1-F7,frontal,4113,16.0664,0
4114,0,FP1-F7,frontal,4114,16.0703,0
4115,0,FP1-F7,frontal,4115,16.0742,0
4116,0,FP1-F7,frontal,4116,16.0781,0
4117,0,FP1-F7,frontal,4117,16.082,0
4118,0,FP1-F7,frontal,4118,16.0859,0
4119,0,FP1-F7,frontal,4119,16.0898,0
4120,0,FP1-F7,frontal,4120,16.0938,0
4121,0,FP1-F7,frontal,4121,16.0977,0
4122,0,FP1-F7,frontal,4122,16.1016,0
4123,0,FP1-F7,frontal,4123,16.1055,0
4124,0,FP1-F7,frontal,4124,16.1094,0
4125,0,FP1-F7,frontal,4125,16.1133,0
4126,0,FP1-F7,frontal,4126,16.1172,0
4127,0,FP1-F7,frontal,4127,16.1211,0
4128,0,FP1-F7,frontal,4128,16.125,0
4129,0,FP1-F7,frontal,4129,16.1289,0
4130,0,FP1-F7,frontal,4130,16.1328,0
4131,0,FP1-F7,frontal,4131,16.1367,0
4132,0,FP1-F7,frontal,4132,16.1406,0
4133,0,FP1-F7,frontal,4133,16.1445,0
4134,0,FP1-F7,frontal,4134,16.1484,0
4135,0,FP1-F7,frontal,4135,16.1523,0
4136,0,FP1-F7,frontal,4136,16.1562,0
4137,0,FP1-F7,frontal,4137,16.1602,0
4138,0,FP1-F7,frontal,4138,16.1641,0
4139,0,FP1-F7,frontal,4139,16.168,0
4140,0,FP1-F7,frontal,4140,16.1719,0
4141,0,FP1-F7,frontal,4141,16.1758,0
4142,0,FP1-F7,frontal,4142,16.1797,0
4143,0,FP1-F7,frontal,4143,16.1836,0
4144,0,FP1-F7,frontal,4144,16.1875,0
4145,0,FP1-F7,frontal,4145,16.1914,0
4146,0,FP1-F7,frontal,4146,16.1953,0
4147,0,FP1-F7,frontal,4147,16.1992,0
4148,0,FP1-F7,frontal,4148,16.2031,0
4149,0,FP1-F7,frontal,4149,16.207,0
4150,0,FP1-F7,frontal,4150,16.2109,0
4151,0,FP1-F7,frontal,4151,16.2148,0
4152,0,FP1-F7,frontal,4152,16.2188,0
4153,0,FP1-F7,frontal,4153,16.2227,0
4154,0,FP1-F7,frontal,4154,16.2266,0
4155,0,FP1-F7,frontal,4155,16.2305,0
4156,0,FP1-F7,frontal,4156,16.2344,0
4157,0,FP1-F7,frontal,4157,16.2383,0
